date;Year;Variable;Value;Population;Rate
2016-09-01;2016;Men;1918;2312932;82.9250492448546
2016-10-01;2016;Women;1650;2424631;68.0515921804184
2016-10-01;2016;Men;2049;2316394;88.4564542992255
2016-11-01;2016;Women;1844;2403320;76.7271940482333
2016-11-01;2016;Men;2161;2292653;94.2576133413997
2016-12-01;2016;Women;1442;2423822;59.4928175418822
2016-12-01;2016;Men;1654;2312558;71.5225304619387
2017-01-01;2017;Women;1666;2426349;68.6628345716136
2017-01-01;2017;Men;1952;2315467;84.3026482346758
2017-02-01;2017;Women;1748;2428966;71.9647784283518
2017-02-01;2017;Men;2049;2318332;88.3825094938948
2017-03-01;2017;Women;1968;2431621;80.9336652381272
2017-03-01;2017;Men;2148;2320717;92.5576018101302
2017-04-01;2017;Women;1378;2434168;56.6107187342862
2017-04-01;2017;Men;1660;2323295;71.4502463096593
2017-05-01;2017;Women;1908;2437007;78.2927582891637
2017-05-01;2017;Men;2228;2326406;95.7700418585578
2017-06-01;2017;Women;1754;2430889;72.1546726321111
2017-06-01;2017;Men;2169;2317235;93.6029362580834
2017-07-01;2017;Women;1604;2436058;65.8440808880577
2017-07-01;2017;Men;1827;2322584;78.662386376553
2017-08-01;2017;Women;1238;2443397;50.6671654258395
2017-08-01;2017;Men;1460;2330284;62.6533074938505
2017-09-01;2017;Women;1509;2443455;61.7568156565192
2017-09-01;2017;Men;1749;2330666;75.042927643858
2017-10-01;2017;Women;1766;2451466;72.0385271506927
2017-10-01;2017;Men;1993;2338630;85.220834420152
2017-11-01;2017;Women;1771;2451817;72.2321445687015
2017-11-01;2017;Men;2010;2339224;85.9259309925001
2017-12-01;2017;Women;1248;2445594;51.0305471799489
2017-12-01;2017;Men;1449;2329849;62.1928717268802
2018-01-01;2018;Women;1702;2448588;69.5094478940516
2018-01-01;2018;Men;1931;2333247;82.7602049847273
2018-02-01;2018;Women;1752;2452307;71.4429310848927
2018-02-01;2018;Men;1981;2337080;84.7638934054461
2018-03-01;2018;Women;1730;2455155;70.4639829257216
2018-03-01;2018;Men;1926;2340408;82.2933437246839
2018-04-01;2018;Women;1596;2458555;64.9161804393231
2018-04-01;2018;Men;1787;2344256;76.2288760271916
2018-05-01;2018;Women;1783;2460939;72.4520193308327
2018-05-01;2018;Men;2066;2347304;88.0158684175548
2018-06-01;2018;Women;1714;2454818;69.8218768153077
2018-06-01;2018;Men;1921;2336921;82.2021797056897
2018-07-01;2018;Women;1849;2467032;74.9483589998022
2018-07-01;2018;Men;2163;2349779;92.0512099222948
2018-08-01;2018;Women;1235;2470670;49.9864409249313
2018-08-01;2018;Men;1395;2354060;59.2593221922976
2018-09-01;2018;Women;1374;2474843;55.518673305741
2018-09-01;2018;Men;1664;2358877;70.5420418275307
2018-10-01;2018;Women;1681;2477942;67.8385531219052
2018-10-01;2018;Men;1840;2362678;77.8777302704812
2018-11-01;2018;Women;1448;2483184;58.3122313932435
2018-11-01;2018;Men;1679;2369031;70.8728589874932
2018-12-01;2018;Women;1462;2475190;59.0661726978535
2018-12-01;2018;Men;1700;2358527;72.078886525361
2019-01-01;2019;Women;1745;2481205;70.3287314026854
2019-01-01;2019;Men;2033;2365298;85.9511148278145
2019-02-01;2019;Women;1667;2484918;67.0847086302244
2019-02-01;2019;Men;1918;2369726;80.9376273881453
2019-03-01;2019;Women;1792;2490419;71.955763267145
2019-03-01;2019;Men;2071;2376371;87.1496916937633
2019-04-01;2019;Women;1732;2494501;69.4327242201948
2019-04-01;2019;Men;1928;2381289;80.9645532314641
2019-05-01;2019;Women;1875;2498629;75.0411525680683
2019-05-01;2019;Men;2014;2386047;84.407390131041
2019-06-01;2019;Women;1572;2498022;62.9297900498875
2019-06-01;2019;Men;1714;2384218;71.8893993753927
2019-07-01;2019;Women;1892;2497505;75.7556040928847
2019-07-01;2019;Men;2232;2383082;93.6602265469673
2019-08-01;2019;Women;1177;2501496;47.0518441764448
2019-08-01;2019;Men;1327;2387819;55.5737264842938
2019-09-01;2019;Women;1601;2507240;63.8550757007706
2019-09-01;2019;Men;1779;2394285;74.3019314743232
